Intersection,Agglomération,Catégorie de route,Aménagement - Infrastructure,Voie,V1,Régime de circulation,Nombre total de voies de circulation,PR,PR1,Voie spéciale,Profil en long,Tracé en plan,Latitude,Longitude,Numac,Code Insee,Geofla Match,Coordonnées
Hors intersection,5,Voie Communale,0,0,0,2,2,,,0,1,Partie rectiligne,,,319769,59636,O,50.6957054596
Hors intersection,7,Voie Communale,0,0,0,2,2,,,0,1,Partie rectiligne,,,319781,59512,O,50.6879774811
Intersection en X,6,Voie Communale,0,0,0,2,2,,,0,1,Partie rectiligne,,,319787,59163,O,50.6740689994
Hors intersection,6,Voie Communale,0,0,0,0,0,,,0,1,1,,,319788,59650,O,50.7056367285
Hors intersection,5,Route Départementale,0,0,0,2,1,,,0,1,Partie rectiligne,,,319795,59279,O,50.7747480298
Intersection en X,6,Voie Communale,0,0,0,2,2,,,0,1,Partie rectiligne,,,393391,59017,O,50.6913797537
Intersection en X,5,Voie Communale,0,0,0,2,2,,,0,1,Partie rectiligne,,,403587,59648,O,50.5864928159
Intersection en T,1,Route Départementale,0,0,,3,2,,,0,1,Partie rectiligne,,,403660,59426,O,50.7533162393
Hors intersection,1,Autoroute,0,27,0,3,2,6,926,0,1,Partie rectiligne,,,393395,59523,O,50.5877332144
Hors intersection,5,Route Nationale,0,0,0,3,8,,,Piste cyclable,1,Partie rectiligne,,,393429,59646,O,50.6750984751
Hors intersection,5,Route Nationale,0,0,0,2,2,,,Bande cyclable,1,Partie rectiligne,,,393517,59143,O,50.6659536434
Hors intersection,1,Route Départementale,0,0,0,2,2,,,0,1,Partie rectiligne,,,393552,59560,O,50.5462914067
Intersection en X,1,Voie Communale,0,0,0,2,2,,,0,1,Partie rectiligne,,,393553,59512,O,50.6879774811
Hors intersection,6,Route Départementale,0,941,,2,4,,,0,1,En courbe à gauche,,,393646,59360,O,50.608350368
Intersection en T,1,Route Départementale,0,0,,2,0,,,0,1,0,,,393677,59317,O,50.6841292085
Hors intersection,6,Voie Communale,0,0,,2,2,,,0,1,Partie rectiligne,,,393734,59378,O,50.6753348557
Hors intersection,1,Route Départementale,0,955,,2,2,3,650,0,4,En courbe à droite,5057710,312989,393747,59256,O,50.5653657611
Intersection en T,7,Voie Communale,0,0,0,3,2,,,0,1,Partie rectiligne,,,414674,59512,O,50.6879774811
Hors intersection,1,Route Départementale,0,41,0,2,0,0,0,Piste cyclable,1,Partie rectiligne,5057000,284900,414708,59303,O,50.5816535581
