Type de Collision,Condition atmosphérique,Lumière,Situation de l’accident,Nombre de personnes tuées dans l'accident,Nombre de blessés hospitalisés (blessés graves) dans l'accident,Nombre de blessés légers dans l'accident,Nombre de personnes indemnes dans l'accident,Type numero,Numero,Distance metre,Libelle voie,Indice de gravité de l'accident,Nombre impliques,Organisme
1,Normale,Plein jour,0,0,1,0,1,2,,0,VERTUQUET (RUE DU),10.8,2,5
2,Normale,Plein jour,1,0,1,0,1,1,54,0,BOURGOGNE (RUE DE LA),10.8,2,5
6,Normale,Plein jour,1,0,1,0,1,9,,0,CORNET RUE DU,10.8,2,5
3,Normale,Plein jour,0,0,1,0,1,0,,0,ROUTE NATIONALE 656,10.8,2,3
6,Normale,Plein jour,1,0,1,0,2,1,0,0,R.D. 48,10.8,3,5
6,Normale,Plein jour,1,0,1,0,1,1,22,0,ABELARD RUE,10.8,2,5
7,Normale,Plein jour,1,0,1,0,1,9,,0,LIBERTE BVD N°147 A FIN-96 A FIN,10.8,2,5
6,Temps éblouissant,Plein jour,1,0,1,0,1,1,0,0,LAINE EMILE RUE,10.8,2,5
7,Temps couvert,Nuit sans éclairage public,1,0,1,0,1,,,,,10.8,2,1
6,Pluie légère,Plein jour,1,0,1,0,1,,,,,10.8,2,1
6,Normale,Nuit avec éclairage public allumé,1,0,1,0,1,2,1,0,LILLE (RUE DE),10.8,2,5
6,Normale,Plein jour,1,0,1,0,0,1,74,0,MOUVAUX (RUE DE),10.8,1,5
3,Normale,Plein jour,1,0,1,0,2,,,,,10.8,3,1
3,Normale,Plein jour,1,0,1,0,1,1,244,0,DUNKERQUE AVENUE DE,10.8,2,5
3,Normale,Plein jour,1,0,1,0,1,9,0,0,NATIONALE RUE N°2 A 178B-1 A 171,10.8,2,5
6,Pluie forte,Plein jour,1,0,1,0,0,2,1,0,AVELGHEM (RUE D'),10.8,1,5
6,Normale,Plein jour,1,0,1,0,0,9,0,0,Seclin,,O,5
6,Pluie forte,Plein jour,1,0,1,0,3,2,1,0,MERMOZ (RUE JEAN),10.8,4,5
7,Normale,Nuit avec éclairage public allumé,1,0,1,0,0,2,1,0,METZ (BOULEVARD DE),10.8,1,5
6,Normale,Nuit sans éclairage public,1,0,1,0,0,9,0,0,VISCOURT (RUE),10.8,1,5
3,Temps couvert,Plein jour,1,0,1,0,1,2,1,0,CARNOT (RUE),10.8,2,5
3,Normale,Plein jour,1,0,1,0,1,1,101,0,LILLE (RUE DE),10.8,2,5
3,Normale,Plein jour,1,0,1,0,1,2,1,0,FAIDHERBE (RUE),10.8,2,5
6,Normale,Plein jour,1,0,1,0,1,2,1,0,LACORDAIRE,10.8,2,5
6,Normale,Nuit avec éclairage public allumé,4,0,1,0,1,9,0,0,PERI (RUE GABRIEL),10.8,2,5
3,Pluie légère,Nuit avec éclairage public allumé,1,0,1,0,1,9,0,0,NATIONALE (RUE),10.8,2,5
7,Normale,Plein jour,1,0,1,0,0,2,1,0,GUESDE (RUE JULES),10.8,1,5
3,Normale,Plein jour,1,0,1,0,1,2,1,0,SARTEL (QUAI DU),10.8,2,5
7,Normale,Nuit avec éclairage public allumé,0,0,1,0,0,1,258,0,ARMENTIERES  (RUE D' ),10.8,1,5
3,Pluie légère,Plein jour,1,0,1,0,1,2,1,0,GUYNEMER (SQUARE),10.8,2,5
6,Normale,Plein jour,1,0,1,0,2,2,1,0,JOUHAUX (BOULEVARD LEON),10.8,3,5
6,Normale,Plein jour,1,0,1,0,0,1,14,0,BASSIN (RUE DU),10.8,1,5
6,Normale,Plein jour,1,0,1,0,1,2,1,0,BASANOS (RUE DES),10.8,2,5
6,Normale,Plein jour,1,0,1,0,1,9,0,0,PHALEMPINS (PLACE DES),10.8,2,5
6,Normale,Plein jour,1,0,1,0,1,1,,0,SCHWIETZER RUE DU DOCTEUR,10.8,2,5
3,Normale,Plein jour,1,0,1,0,1,,,,,10.8,2,1
7,Temps éblouissant,Plein jour,0,0,1,0,0,,,,,10.8,1,1
6,Pluie légère,Nuit avec éclairage public allumé,1,0,1,0,0,9,0,0,GIRONDINS RUE,10.8,1,5
3,Pluie légère,Plein jour,1,0,1,0,2,2,1,0,FOCH (RUE DU MARECHAL),10.8,3,5
6,Normale,Plein jour,1,0,1,0,1,2,1,0,COUTEAUX (BOULEVARD DES),10.8,2,5
7,Normale,Plein jour,1,0,1,0,0,2,1,0,MOLINEL (RUE DU),10.8,1,5
3,Normale,Plein jour,1,0,1,0,1,9,0,0,BALLON RUE DU,10.8,2,5
6,Normale,Plein jour,1,0,1,0,1,2,1,0,LINNE ( AVENUE),10.8,2,5
6,Pluie forte,Nuit avec éclairage public allumé,1,0,1,0,1,2,1,0,REPUBLIQUE (PLACE DE LA),10.8,2,5
3,Pluie légère,Nuit avec éclairage public allumé,1,0,1,0,1,2,1,0,GAND (QUAI DE),10.8,2,5
6,Normale,Plein jour,1,0,1,0,1,2,1,0,FOCH (RUE DU MARECHAL),10.8,2,5
6,Normale,Nuit avec éclairage public allumé,1,0,1,0,0,0,,0,AUTOROUTE A25,10.8,1,3
6,Pluie légère,Plein jour,1,0,1,0,1,1,,0,DUNKERQUE AVENUE,10.8,2,5
3,Normale,Plein jour,1,0,1,0,0,2,1,0,HALLE RUE DE LA),10.8,1,5
